date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
1996-02-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,miscellaneous food,sugar,97,KG,actual,retail,INR,13.5,0.37
1996-02-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,miscellaneous food,sugar,97,KG,actual,retail,INR,14.5,0.4
1996-03-15,Bihar,Patna,Patna,957,25.6,85.12,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.41
1996-03-15,Delhi,Delhi,Delhi,934,28.67,77.22,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.41
1996-03-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,miscellaneous food,sugar,97,KG,actual,retail,INR,13.2,0.39
1996-03-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,miscellaneous food,sugar,97,KG,actual,retail,INR,14.25,0.42
1996-03-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,968,8.51,76.96,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.41
1996-03-15,Mizoram,Aizawl,Aizawl,924,23.72,92.71,miscellaneous food,sugar,97,KG,actual,retail,INR,18.0,0.53
1996-03-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.41
1996-03-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,miscellaneous food,sugar,97,KG,actual,retail,INR,14.25,0.42
1996-03-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,miscellaneous food,sugar,97,KG,actual,retail,INR,13.2,0.39
1996-03-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,miscellaneous food,sugar,97,KG,actual,retail,INR,13.0,0.38
1996-03-15,Uttar Pradesh,Lucknow,Lucknow,952,26.85,80.92,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.41
1996-03-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,miscellaneous food,sugar,97,KG,actual,retail,INR,14.5,0.43
1996-04-15,Assam,Kamrup,Guwahati,939,26.18,91.73,miscellaneous food,sugar,97,KG,actual,retail,INR,14.4,0.42
1996-04-15,Bihar,Patna,Patna,957,25.6,85.12,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.41
1996-04-15,Delhi,Delhi,Delhi,934,28.67,77.22,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.41
1996-04-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.41
1996-04-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,968,8.51,76.96,miscellaneous food,sugar,97,KG,actual,retail,INR,14.4,0.42
1996-04-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,miscellaneous food,sugar,97,KG,actual,retail,INR,13.25,0.39
1996-04-15,Mizoram,Aizawl,Aizawl,924,23.72,92.71,miscellaneous food,sugar,97,KG,actual,retail,INR,18.0,0.53
1996-04-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.41
1996-04-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.41
1996-04-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,miscellaneous food,sugar,97,KG,actual,retail,INR,13.0,0.38
1996-04-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.41
1996-05-15,Assam,Kamrup,Guwahati,939,26.18,91.73,miscellaneous food,sugar,97,KG,actual,retail,INR,15.5,0.45
1996-05-15,Bihar,Patna,Patna,957,25.6,85.12,miscellaneous food,sugar,97,KG,actual,retail,INR,13.5,0.39
1996-05-15,Delhi,Delhi,Delhi,934,28.67,77.22,miscellaneous food,sugar,97,KG,actual,retail,INR,15.0,0.44
1996-05-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,miscellaneous food,sugar,97,KG,actual,retail,INR,15.0,0.44
1996-05-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,968,8.51,76.96,miscellaneous food,sugar,97,KG,actual,retail,INR,15.2,0.44
1996-05-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,miscellaneous food,sugar,97,KG,actual,retail,INR,14.5,0.42
1996-05-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,miscellaneous food,sugar,97,KG,actual,retail,INR,14.5,0.42
1996-05-15,Meghalaya,East Khasi Hills,Shillong,962,25.58,91.87,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.41
1996-05-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,miscellaneous food,sugar,97,KG,actual,retail,INR,15.0,0.44
1996-05-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,miscellaneous food,sugar,97,KG,actual,retail,INR,14.5,0.42
1996-05-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,miscellaneous food,sugar,97,KG,actual,retail,INR,14.2,0.41
1996-05-15,Tripura,West Tripura,Agartala,921,23.84,91.28,miscellaneous food,sugar,97,KG,actual,retail,INR,18.0,0.52
1996-05-15,Uttar Pradesh,Lucknow,Lucknow,952,26.85,80.92,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.41
1996-05-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,miscellaneous food,sugar,97,KG,actual,retail,INR,15.0,0.44
1996-06-15,Assam,Kamrup,Guwahati,939,26.18,91.73,miscellaneous food,sugar,97,KG,actual,retail,INR,15.7,0.45
1996-06-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,miscellaneous food,sugar,97,KG,actual,retail,INR,13.0,0.37
1996-06-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,miscellaneous food,sugar,97,KG,actual,retail,INR,15.5,0.45
1996-06-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,miscellaneous food,sugar,97,KG,actual,retail,INR,13.8,0.4
1996-06-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.4
1996-06-15,Meghalaya,East Khasi Hills,Shillong,962,25.58,91.87,miscellaneous food,sugar,97,KG,actual,retail,INR,15.0,0.43
1996-06-15,Mizoram,Aizawl,Aizawl,924,23.72,92.71,miscellaneous food,sugar,97,KG,actual,retail,INR,18.0,0.52
1996-06-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,miscellaneous food,sugar,97,KG,actual,retail,INR,14.5,0.42
1996-06-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,miscellaneous food,sugar,97,KG,actual,retail,INR,13.5,0.39
1996-06-15,Uttar Pradesh,Lucknow,Lucknow,952,26.85,80.92,miscellaneous food,sugar,97,KG,actual,retail,INR,14.75,0.43
1996-06-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,miscellaneous food,sugar,97,KG,actual,retail,INR,15.6,0.45
1996-07-15,Delhi,Delhi,Delhi,934,28.67,77.22,miscellaneous food,sugar,97,KG,actual,retail,INR,15.0,0.42
1996-07-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.39
1996-07-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,miscellaneous food,sugar,97,KG,actual,retail,INR,15.0,0.42
1996-07-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,miscellaneous food,sugar,97,KG,actual,retail,INR,13.8,0.39
1996-07-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,968,8.51,76.96,miscellaneous food,sugar,97,KG,actual,retail,INR,14.5,0.41
1996-07-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,miscellaneous food,sugar,97,KG,actual,retail,INR,13.75,0.39
1996-07-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.39
1996-07-15,Mizoram,Aizawl,Aizawl,924,23.72,92.71,miscellaneous food,sugar,97,KG,actual,retail,INR,18.0,0.51
1996-07-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,miscellaneous food,sugar,97,KG,actual,retail,INR,14.5,0.41
1996-07-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,miscellaneous food,sugar,97,KG,actual,retail,INR,13.0,0.37
1996-07-15,Tripura,West Tripura,Agartala,921,23.84,91.28,miscellaneous food,sugar,97,KG,actual,retail,INR,18.0,0.51
1996-07-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,miscellaneous food,sugar,97,KG,actual,retail,INR,15.5,0.44
1996-08-15,Assam,Kamrup,Guwahati,939,26.18,91.73,miscellaneous food,sugar,97,KG,actual,retail,INR,15.7,0.44
1996-08-15,Bihar,Patna,Patna,957,25.6,85.12,miscellaneous food,sugar,97,KG,actual,retail,INR,15.5,0.44
1996-08-15,Delhi,Delhi,Delhi,934,28.67,77.22,miscellaneous food,sugar,97,KG,actual,retail,INR,15.0,0.42
1996-08-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,miscellaneous food,sugar,97,KG,actual,retail,INR,15.75,0.44
1996-08-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,968,8.51,76.96,miscellaneous food,sugar,97,KG,actual,retail,INR,15.0,0.42
1996-08-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,miscellaneous food,sugar,97,KG,actual,retail,INR,14.5,0.41
1996-08-15,Meghalaya,East Khasi Hills,Shillong,962,25.58,91.87,miscellaneous food,sugar,97,KG,actual,retail,INR,16.0,0.45
1996-08-15,Mizoram,Aizawl,Aizawl,924,23.72,92.71,miscellaneous food,sugar,97,KG,actual,retail,INR,18.0,0.51
1996-08-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,miscellaneous food,sugar,97,KG,actual,retail,INR,14.5,0.41
