date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#loc+market+code,#geo+lat,#geo+lon,#item+type,#item+name,#item+code,#item+unit,#item+price+flag,#item+price+type,#currency+code,#value,#value+usd
1994-07-15,Delhi,Delhi,Delhi,934,28.67,77.22,cereals and tubers,Rice,52,KG,actual,Retail,INR,8.5,0.27
1994-07-15,Delhi,Delhi,Delhi,934,28.67,77.22,cereals and tubers,Wheat,84,KG,actual,Retail,INR,5,0.16
1994-07-15,Delhi,Delhi,Delhi,934,28.67,77.22,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14,0.45
1994-07-15,Delhi,Delhi,Delhi,934,28.67,77.22,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,32,1.02
1994-07-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,cereals and tubers,Rice,52,KG,actual,Retail,INR,9.5,0.3
1994-07-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14,0.45
1994-07-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,42,1.34
1994-07-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,cereals and tubers,Rice,52,KG,actual,Retail,INR,7.7,0.25
1994-07-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,968,8.51,76.96,cereals and tubers,Rice,52,KG,actual,Retail,INR,9.6,0.31
1994-07-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,968,8.51,76.96,cereals and tubers,Wheat,84,KG,actual,Retail,INR,9,0.29
1994-07-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,cereals and tubers,Wheat,84,KG,actual,Retail,INR,4,0.13
1994-07-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13.25,0.42
1994-07-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,32.5,1.04
1994-07-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,cereals and tubers,Wheat,84,KG,actual,Retail,INR,6.5,0.21
1994-07-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13.75,0.44
1994-07-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,32,1.02
1994-07-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,cereals and tubers,Rice,52,KG,actual,Retail,INR,6,0.19
1994-07-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,cereals and tubers,Wheat,84,KG,actual,Retail,INR,5,0.16
1994-07-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14.5,0.46
1994-07-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,36,1.15
1994-07-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,cereals and tubers,Rice,52,KG,actual,Retail,INR,9.75,0.31
1994-07-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,cereals and tubers,Wheat,84,KG,actual,Retail,INR,4.5,0.14
1994-07-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,miscellaneous food,Sugar,97,KG,actual,Retail,INR,15.5,0.49
1994-07-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,cereals and tubers,Wheat,84,KG,actual,Retail,INR,7,0.22
1994-07-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,miscellaneous food,Sugar,97,KG,actual,Retail,INR,12.6,0.4
1994-07-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,cereals and tubers,Rice,52,KG,actual,Retail,INR,6.8,0.22
1994-07-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,cereals and tubers,Wheat,84,KG,actual,Retail,INR,6.5,0.21
1994-07-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13,0.41
1994-07-15,Tripura,West Tripura,Agartala,921,23.84,91.28,miscellaneous food,Sugar,97,KG,actual,Retail,INR,17.5,0.56
1994-07-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,cereals and tubers,Rice,52,KG,actual,Retail,INR,8.5,0.27
1994-07-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,cereals and tubers,Wheat,84,KG,actual,Retail,INR,5.5,0.18
1994-07-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,35,1.12
1994-08-15,Assam,Kamrup,Guwahati,939,26.18,91.73,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14.5,0.46
1994-08-15,Assam,Kamrup,Guwahati,939,26.18,91.73,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,31,0.99
1994-08-15,Delhi,Delhi,Delhi,934,28.67,77.22,cereals and tubers,Rice,52,KG,actual,Retail,INR,8.5,0.27
1994-08-15,Delhi,Delhi,Delhi,934,28.67,77.22,miscellaneous food,Sugar,97,KG,actual,Retail,INR,15,0.48
1994-08-15,Delhi,Delhi,Delhi,934,28.67,77.22,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,34,1.08
1994-08-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14,0.45
1994-08-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,miscellaneous food,Sugar,97,KG,actual,Retail,INR,16,0.51
1994-08-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,cereals and tubers,Rice,52,KG,actual,Retail,INR,7.5,0.24
1994-08-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,cereals and tubers,Wheat,84,KG,actual,Retail,INR,6.5,0.21
1994-08-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,43,1.37
1994-08-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,968,8.51,76.96,cereals and tubers,Rice,52,KG,actual,Retail,INR,9.2,0.29
1994-08-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,968,8.51,76.96,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13.7,0.44
1994-08-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,cereals and tubers,Rice,52,KG,actual,Retail,INR,7.5,0.24
1994-08-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,cereals and tubers,Wheat,84,KG,actual,Retail,INR,4.1,0.13
1994-08-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14.25,0.45
1994-08-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,cereals and tubers,Rice,52,KG,actual,Retail,INR,8.5,0.27
1994-08-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,cereals and tubers,Wheat,84,KG,actual,Retail,INR,8,0.26
1994-08-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14.8,0.47
1994-08-15,Meghalaya,East Khasi Hills,Shillong,962,25.58,91.87,cereals and tubers,Wheat,84,KG,actual,Retail,INR,6,0.19
1994-08-15,Meghalaya,East Khasi Hills,Shillong,962,25.58,91.87,miscellaneous food,Sugar,97,KG,actual,Retail,INR,16,0.51
1994-08-15,Meghalaya,East Khasi Hills,Shillong,962,25.58,91.87,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,36,1.15
1994-08-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,cereals and tubers,Rice,52,KG,actual,Retail,INR,6.2,0.2
1994-08-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,37,1.18
1994-08-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,cereals and tubers,Rice,52,KG,actual,Retail,INR,10,0.32
1994-08-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,cereals and tubers,Wheat,84,KG,actual,Retail,INR,4.5,0.14
1994-08-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14.75,0.47
1994-08-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,33,1.05
1994-08-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,cereals and tubers,Rice,52,KG,actual,Retail,INR,7.5,0.24
1994-08-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,cereals and tubers,Wheat,84,KG,actual,Retail,INR,7,0.22
1994-08-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,cereals and tubers,Rice,52,KG,actual,Retail,INR,6.8,0.22
1994-08-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,cereals and tubers,Wheat,84,KG,actual,Retail,INR,6.5,0.21
1994-08-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14.25,0.45
1994-08-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,40,1.28
1994-08-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,cereals and tubers,Rice,52,KG,actual,Retail,INR,8.75,0.28
1994-08-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,cereals and tubers,Wheat,84,KG,actual,Retail,INR,5.5,0.18
1994-08-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14.5,0.46
1994-08-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,36,1.15
1994-09-15,Assam,Kamrup,Guwahati,939,26.18,91.73,miscellaneous food,Sugar,97,KG,actual,Retail,INR,15.2,0.48
1994-09-15,Assam,Kamrup,Guwahati,939,26.18,91.73,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,31,0.99
1994-09-15,Delhi,Delhi,Delhi,934,28.67,77.22,cereals and tubers,Rice,52,KG,actual,Retail,INR,8.5,0.27
1994-09-15,Delhi,Delhi,Delhi,934,28.67,77.22,cereals and tubers,Wheat,84,KG,actual,Retail,INR,5.5,0.18
1994-09-15,Delhi,Delhi,Delhi,934,28.67,77.22,miscellaneous food,Sugar,97,KG,actual,Retail,INR,16,0.51
1994-09-15,Delhi,Delhi,Delhi,934,28.67,77.22,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,34,1.08
1994-09-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,cereals and tubers,Wheat,84,KG,actual,Retail,INR,6,0.19
1994-09-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14.25,0.45
1994-09-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,34,1.08
1994-09-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,miscellaneous food,Sugar,97,KG,actual,Retail,INR,16.75,0.53
1994-09-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,43,1.37
1994-09-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,968,8.51,76.96,cereals and tubers,Rice,52,KG,actual,Retail,INR,9.8,0.31
1994-09-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,968,8.51,76.96,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13.4,0.43
1994-09-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,cereals and tubers,Rice,52,KG,actual,Retail,INR,7.5,0.24
1994-09-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,cereals and tubers,Wheat,84,KG,actual,Retail,INR,4.25,0.14
1994-09-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,cereals and tubers,Rice,52,KG,actual,Retail,INR,8,0.26
1994-09-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14.5,0.46
1994-09-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,35,1.12
1994-09-15,Mizoram,Aizawl,Aizawl,924,23.72,92.71,cereals and tubers,Rice,52,KG,actual,Retail,INR,7,0.22
1994-09-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,cereals and tubers,Rice,52,KG,actual,Retail,INR,6.5,0.21
1994-09-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,cereals and tubers,Wheat,84,KG,actual,Retail,INR,5,0.16
1994-09-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,37,1.18
1994-09-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,cereals and tubers,Rice,52,KG,actual,Retail,INR,10,0.32
1994-09-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,cereals and tubers,Wheat,84,KG,actual,Retail,INR,4.5,0.14
1994-09-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,miscellaneous food,Sugar,97,KG,actual,Retail,INR,15.25,0.49
1994-09-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,cereals and tubers,Rice,52,KG,actual,Retail,INR,7.8,0.25
1994-09-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,cereals and tubers,Wheat,84,KG,actual,Retail,INR,7,0.22
1994-09-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,40,1.28
1994-09-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,cereals and tubers,Rice,52,KG,actual,Retail,INR,6.8,0.22
1994-09-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,cereals and tubers,Rice,52,KG,actual,Retail,INR,8.75,0.28
1994-09-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,cereals and tubers,Wheat,84,KG,actual,Retail,INR,5.5,0.18
1994-09-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14.6,0.47
1994-09-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,36,1.15
1994-10-15,Assam,Kamrup,Guwahati,939,26.18,91.73,cereals and tubers,Rice,52,KG,actual,Retail,INR,7.2,0.23
1994-10-15,Assam,Kamrup,Guwahati,939,26.18,91.73,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14.3,0.46
1994-10-15,Assam,Kamrup,Guwahati,939,26.18,91.73,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,31,0.99
1994-10-15,Delhi,Delhi,Delhi,934,28.67,77.22,cereals and tubers,Wheat,84,KG,actual,Retail,INR,5.5,0.18
1994-10-15,Delhi,Delhi,Delhi,934,28.67,77.22,miscellaneous food,Sugar,97,KG,actual,Retail,INR,15,0.48
1994-10-15,Delhi,Delhi,Delhi,934,28.67,77.22,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,34,1.08
1994-10-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,cereals and tubers,Rice,52,KG,actual,Retail,INR,9.25,0.29
1994-10-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,miscellaneous food,Sugar,97,KG,actual,Retail,INR,15,0.48
1994-10-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,43,1.37
1994-10-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,cereals and tubers,Wheat,84,KG,actual,Retail,INR,7,0.22
1994-10-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,miscellaneous food,Sugar,97,KG,actual,Retail,INR,12.4,0.4
1994-10-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,43,1.37
1994-10-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,cereals and tubers,Rice,52,KG,actual,Retail,INR,8,0.26
1994-10-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,cereals and tubers,Wheat,84,KG,actual,Retail,INR,4,0.13
1994-10-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13,0.41
1994-10-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,cereals and tubers,Rice,52,KG,actual,Retail,INR,8,0.26
1994-10-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,cereals and tubers,Wheat,84,KG,actual,Retail,INR,6.5,0.21
1994-10-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14,0.45
1994-10-15,Meghalaya,East Khasi Hills,Shillong,962,25.58,91.87,cereals and tubers,Wheat,84,KG,actual,Retail,INR,6,0.19
1994-10-15,Meghalaya,East Khasi Hills,Shillong,962,25.58,91.87,miscellaneous food,Sugar,97,KG,actual,Retail,INR,15,0.48
1994-10-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,cereals and tubers,Rice,52,KG,actual,Retail,INR,6.4,0.2
1994-10-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,37,1.18
1994-10-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,cereals and tubers,Wheat,84,KG,actual,Retail,INR,7,0.22
1994-10-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,miscellaneous food,Sugar,97,KG,actual,Retail,INR,11.5,0.37
1994-10-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,41,1.31
1994-10-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,cereals and tubers,Wheat,84,KG,actual,Retail,INR,7,0.22
1994-10-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,miscellaneous food,Sugar,97,KG,actual,Retail,INR,12.8,0.41
1994-10-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,42,1.34
1994-10-15,Tripura,West Tripura,Agartala,921,23.84,91.28,miscellaneous food,Sugar,97,KG,actual,Retail,INR,16.5,0.53
1994-10-15,Tripura,West Tripura,Agartala,921,23.84,91.28,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,39,1.24
1994-10-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,cereals and tubers,Rice,52,KG,actual,Retail,INR,8.75,0.28
1994-10-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,cereals and tubers,Wheat,84,KG,actual,Retail,INR,5.5,0.18
1994-10-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14,0.45
1994-10-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,36,1.15
1994-11-15,Assam,Kamrup,Guwahati,939,26.18,91.73,cereals and tubers,Rice,52,KG,actual,Retail,INR,7,0.22
1994-11-15,Delhi,Delhi,Delhi,934,28.67,77.22,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13.5,0.43
1994-11-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,miscellaneous food,Sugar,97,KG,actual,Retail,INR,12.5,0.4
1994-11-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,33.5,1.07
1994-11-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,cereals and tubers,Rice,52,KG,actual,Retail,INR,9.25,0.29
1994-11-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14,0.45
1994-11-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,43,1.37
1994-11-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,cereals and tubers,Rice,52,KG,actual,Retail,INR,7.5,0.24
1994-11-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,33,1.05
1994-11-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,968,8.51,76.96,cereals and tubers,Rice,52,KG,actual,Retail,INR,10,0.32
1994-11-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,968,8.51,76.96,miscellaneous food,Sugar,97,KG,actual,Retail,INR,11.7,0.37
1994-11-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,cereals and tubers,Wheat,84,KG,actual,Retail,INR,4.1,0.13
1994-11-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,miscellaneous food,Sugar,97,KG,actual,Retail,INR,12.9,0.41
1994-11-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,35,1.12
1994-11-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,cereals and tubers,Rice,52,KG,actual,Retail,INR,9,0.29
1994-11-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,cereals and tubers,Wheat,84,KG,actual,Retail,INR,6.5,0.21
1994-11-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,miscellaneous food,Sugar,97,KG,actual,Retail,INR,12.35,0.39
1994-11-15,Meghalaya,East Khasi Hills,Shillong,962,25.58,91.87,cereals and tubers,Wheat,84,KG,actual,Retail,INR,6,0.19
1994-11-15,Meghalaya,East Khasi Hills,Shillong,962,25.58,91.87,miscellaneous food,Sugar,97,KG,actual,Retail,INR,15,0.48
1994-11-15,Mizoram,Aizawl,Aizawl,924,23.72,92.71,miscellaneous food,Sugar,97,KG,actual,Retail,INR,20.5,0.65
1994-11-15,Mizoram,Aizawl,Aizawl,924,23.72,92.71,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,38,1.21
1994-11-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,cereals and tubers,Rice,52,KG,actual,Retail,INR,6.5,0.21
1994-11-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,cereals and tubers,Wheat,84,KG,actual,Retail,INR,5.2,0.17
1994-11-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,40,1.28
1994-11-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,cereals and tubers,Rice,52,KG,actual,Retail,INR,11,0.35
1994-11-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,cereals and tubers,Wheat,84,KG,actual,Retail,INR,4.6,0.15
1994-11-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,36,1.15
1994-11-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,cereals and tubers,Rice,52,KG,actual,Retail,INR,7.8,0.25
1994-11-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,cereals and tubers,Wheat,84,KG,actual,Retail,INR,7,0.22
1994-11-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,miscellaneous food,Sugar,97,KG,actual,Retail,INR,10.8,0.34
1994-11-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,42,1.34
1994-11-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,cereals and tubers,Wheat,84,KG,actual,Retail,INR,7.5,0.24
1994-11-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,miscellaneous food,Sugar,97,KG,actual,Retail,INR,12.3,0.39
1994-11-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,42,1.34
1994-11-15,Tripura,West Tripura,Agartala,921,23.84,91.28,miscellaneous food,Sugar,97,KG,actual,Retail,INR,17,0.54
1994-11-15,Tripura,West Tripura,Agartala,921,23.84,91.28,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,38,1.21
1994-11-15,Uttar Pradesh,Lucknow,Lucknow,952,26.85,80.92,cereals and tubers,Wheat,84,KG,actual,Retail,INR,4.9,0.16
1994-11-15,Uttar Pradesh,Lucknow,Lucknow,952,26.85,80.92,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13,0.41
1994-11-15,Uttar Pradesh,Lucknow,Lucknow,952,26.85,80.92,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,35,1.12
1994-11-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,cereals and tubers,Rice,52,KG,actual,Retail,INR,8.75,0.28
1994-11-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13.5,0.43
1994-11-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,38,1.21
1994-12-15,Assam,Kamrup,Guwahati,939,26.18,91.73,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13.6,0.43
1994-12-15,Assam,Kamrup,Guwahati,939,26.18,91.73,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,33,1.05
1994-12-15,Bihar,Patna,Patna,957,25.6,85.12,cereals and tubers,Wheat,84,KG,actual,Retail,INR,5.5,0.18
1994-12-15,Bihar,Patna,Patna,957,25.6,85.12,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14.5,0.46
1994-12-15,Bihar,Patna,Patna,957,25.6,85.12,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,42,1.34
1994-12-15,Delhi,Delhi,Delhi,934,28.67,77.22,cereals and tubers,Rice,52,KG,actual,Retail,INR,8.5,0.27
1994-12-15,Delhi,Delhi,Delhi,934,28.67,77.22,cereals and tubers,Wheat,84,KG,actual,Retail,INR,5.5,0.18
1994-12-15,Delhi,Delhi,Delhi,934,28.67,77.22,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,37,1.18
1994-12-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,cereals and tubers,Rice,52,KG,actual,Retail,INR,8.4,0.27
1994-12-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,33,1.05
1994-12-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,miscellaneous food,Sugar,97,KG,actual,Retail,INR,14,0.45
1994-12-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,43,1.37
1994-12-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,cereals and tubers,Rice,52,KG,actual,Retail,INR,7.2,0.23
1994-12-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,cereals and tubers,Wheat,84,KG,actual,Retail,INR,6,0.19
1994-12-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,miscellaneous food,Sugar,97,KG,actual,Retail,INR,12.5,0.4
